Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
27-09-2018,843.65,815.5,821.45,7668506,63763.63447,50693
28-09-2018,831.15,794.35,805.6,3145969,25510.06767,12925
01-10-2018,814.4,782,809.75,2445752,19523.52489,13216
03-10-2018,813,791.2,794.5,3478716,27863.63386,12119
04-10-2018,797.5,760.3,776.7,4579535,35687.59056,16133
05-10-2018,815.7,784,792.1,7398167,59465.00948,24841
08-10-2018,819,774.7,813.55,3961739,31601.4871,15077
09-10-2018,820.95,732.3,749.5,8683946,67222.74117,39030
10-10-2018,796.35,740,788.55,7285084,56796.18262,28736
11-10-2018,798,754.55,778.9,3766505,29410.2842,16618
12-10-2018,809.75,777.1,805.15,4322158,34355.78198,19765
15-10-2018,812,788.75,807.2,2234430,17860.82531,12406
16-10-2018,819.65,808,810.6,2347048,19085.27436,10356
17-10-2018,823.3,792.55,800.1,2975579,23956.55546,17711
19-10-2018,810,782.5,788.7,2892515,22963.20139,17939
22-10-2018,795.9,773.2,774.8,2766247,21607.32094,23280
23-10-2018,787,766.15,778.2,2239883,17421.19008,16603
24-10-2018,794.8,772.25,791.6,2060580,16114.24933,22184
25-10-2018,796,777.8,791.25,1681346,13252.18215,21615
26-10-2018,820,786.65,806.9,3738778,30247.33432,15343
29-10-2018,834.45,807.65,829.75,2473393,20344.5275,10006
30-10-2018,841.4,819.4,830.5,1876874,15651.5957,9616
31-10-2018,847.9,818.5,844.6,2435865,20344.83544,8206
01-11-2018,862.9,834.4,854.45,2485725,21065.94323,11447
02-11-2018,884,857.9,871,3078543,26911.20194,10744
05-11-2018,872.4,856.55,863.7,1903690,16454.84325,4991
06-11-2018,877.6,840.2,846.25,2504504,21539.95475,11414
07-11-2018,855.95,847.6,850.15,331169,2817.199094,1411
09-11-2018,865,844,847.65,3528039,30147.677,21186
12-11-2018,901.5,843.2,894.75,13985301,123159.865,67407
13-11-2018,899.65,879.1,897.5,4432001,39454.01083,21773
14-11-2018,897.5,883,892.2,2606605,23207.91814,11462
15-11-2018,924,889,920.8,4711756,43118.97954,22456
16-11-2018,928.7,912.7,921.35,2769698,25499.42912,14476
19-11-2018,927,915.05,920.55,2104102,19385.17074,10594
20-11-2018,925.2,908.85,915.45,1540046,14098.81982,9362
21-11-2018,929.9,909.55,926.55,1855760,17092.65318,10864
22-11-2018,933.4,911.8,915.75,1617491,14934.26296,9321
26-11-2018,920.5,892.6,916.4,2116814,19209.90327,18696
27-11-2018,918,906,914.3,1126278,10282.22745,18200
28-11-2018,931,915,922.95,2434110,22545.76435,28437
29-11-2018,933.9,913,931.4,1991914,18463.87574,21220
30-11-2018,931,918,927.1,2738673,25330.75099,7421
03-12-2018,939.8,920.5,936.25,2044427,19016.5326,7460
04-12-2018,940.15,921.5,923.8,1424621,13226.34489,5754
05-12-2018,925.65,901.55,920.25,3020688,27557.50573,11298
06-12-2018,920,902,905.75,1425935,12977.25495,7155
07-12-2018,921.45,893.3,916.6,2750589,24917.49012,11328
10-12-2018,916,898,907.1,1508069,13685.33332,6339
11-12-2018,936.95,894.15,933.15,2792386,25619.61045,10248
12-12-2018,938.1,921,929.95,3256275,30242.86537,10932
13-12-2018,961.25,924.25,944.15,4821052,45391.15642,20489
14-12-2018,951.7,928.45,931.5,2558651,23953.04471,10328
17-12-2018,937.2,925.4,935.3,2284630,21301.60575,7567
18-12-2018,938.75,930.8,933,2222788,20776.58439,7346
19-12-2018,941.55,927.5,929.2,2237859,20893.7677,9046
20-12-2018,933,922.2,926.75,1630740,15133.66193,9183
21-12-2018,927.85,897.25,900.05,2972085,26979.59017,17493
24-12-2018,902.8,874,879.85,2554749,22632.63597,29481
26-12-2018,900,868.2,889.15,3840772,34087.60866,30921
27-12-2018,897.8,881.5,887.65,2160188,19187.39833,15726
28-12-2018,925.75,898.8,922.7,8067914,73704.92231,22161
31-12-2018,939.5,920.35,931,4917511,45881.92475,14702
01-01-2019,934.2,923,928,2064502,19169.42769,5069
02-01-2019,937,923.3,932.15,2672587,24923.414,9947
03-01-2019,944.95,928,931.2,3292918,30786.56723,10842
04-01-2019,938.9,920.2,928.45,2340304,21741.71103,8399
07-01-2019,964,934.1,944.05,5337211,50721.36801,15813
08-01-2019,950,938.55,946.15,2039160,19257.79679,7618
09-01-2019,955.35,945.35,952.95,2115974,20122.55523,8010
10-01-2019,969.4,948.55,966.7,2450895,23536.63389,12492
11-01-2019,969.5,956.8,959.3,1535995,14767.28779,9078
14-01-2019,961.35,949,957.5,864306,8258.205803,7219
15-01-2019,970.7,955.1,968.3,1452136,14022.92102,7283
16-01-2019,970.4,959.3,961.2,1118736,10788.96572,4953
17-01-2019,965,951.55,961.55,1303576,12508.36711,6382
18-01-2019,965,954.05,960.95,1168989,11225.50418,7692
21-01-2019,965.8,957,962.75,1035360,9957.578628,7611
22-01-2019,986.4,958.7,982.65,2797244,27265.42401,17059
23-01-2019,987.4,957.6,962.15,1574247,15318.38271,11971
24-01-2019,972.3,955.9,969.65,1246903,12057.81403,12100
25-01-2019,984,969.15,978,1985833,19397.20442,14740
28-01-2019,981.2,955.2,958.65,1499181,14467.77379,20915
29-01-2019,970,945,966.1,1411027,13581.55357,18165
30-01-2019,974.95,960.05,968.9,1468812,14214.53859,18790
31-01-2019,1000,966.5,995.8,2306391,22744.35355,30008
01-02-2019,1005,985.1,991.55,3424938,33964.15409,15203
04-02-2019,1050,1009.05,1025.75,9556052,98651.32638,41999
05-02-2019,1074,1020,1066.7,7144200,75396.53156,36804
06-02-2019,1072,1050.5,1059.05,2449722,25926.0084,14468
07-02-2019,1067.05,1050,1056.8,1293109,13656.23619,8881
08-02-2019,1076.85,1047.6,1053.25,2576054,27374.52883,17430
11-02-2019,1063.5,1045.2,1056.4,1057548,11138.66032,8423
12-02-2019,1073.95,1050.1,1066.25,3075801,32777.72463,15502
13-02-2019,1071.25,1047.8,1050.95,1185932,12546.50898,9283
14-02-2019,1063.95,1030.5,1042.25,2182379,22687.20329,14818
15-02-2019,1052,1016.8,1039,2566210,26481.42218,21288
18-02-2019,1040.65,1021.3,1027.35,1023065,10512.43362,8156
19-02-2019,1049.8,1025.3,1028.8,1551617,16120.8222,11172
20-02-2019,1044.4,1027.5,1032.75,1506583,15582.74177,14687
21-02-2019,1045,1031.25,1042.5,1220939,12680.1562,12992
22-02-2019,1044,1030.3,1041.6,1298608,13475.40253,10778
25-02-2019,1055,1035.6,1043,1691809,17639.58762,10684
26-02-2019,1041.9,1016.05,1038.35,1906268,19632.9227,20237
27-02-2019,1047.15,1013.95,1016.25,1897310,19496.1712,22790
28-02-2019,1033.8,1002.05,1025.2,5080712,51618.58085,33317
