Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
05-Jul-2017,405.75,397.75,403.05,1039605,4185.1350275,1089,
06-Jul-2017,416.2,398.6,414.7,2220499,9082.8055885,3874,
07-Jul-2017,414.65,402.15,404.35,2673281,10855.501464,2456,
10-Jul-2017,415,404,410.3,1255267,5116.678824,940,
11-Jul-2017,414.55,405.25,409.85,2575028,10569.3089495,1145,
12-Jul-2017,422.35,405.6,420.3,4389373,18188.885078,3717,
13-Jul-2017,421.9,407.25,410.6,3111485,12786.122957,2357,
14-Jul-2017,418.45,408.65,417.8,1575033,6540.494469,1933,
17-Jul-2017,420.3,415.7,418.65,1083121,4528.9442045,885,
18-Jul-2017,424.75,414.15,418.2,2192538,9205.670021,1507,
19-Jul-2017,422.9,412,415.15,1493859,6216.401278,1488,
20-Jul-2017,414.95,404.55,406.1,1825907,7447.140745,1674,
21-Jul-2017,411.75,401.25,410.3,1371671,5570.8332255,2930,
24-Jul-2017,415.45,403.35,408.9,2056890,8439.7605735,4519,
25-Jul-2017,425,413.45,415.65,2965248,12421.4500615,5827,
26-Jul-2017,414.9,407.55,413.5,1488819,6124.430755,2510,
27-Jul-2017,417,409,411.05,2796607,11518.4655045,4323,
28-Jul-2017,413.9,398.65,403.9,2250006,9127.845386,2711,
31-Jul-2017,406,395.25,401.4,3107036,12476.0191875,3161,
01-Aug-2017,407.05,398.75,403.7,1633983,6581.6804015,1453,
02-Aug-2017,407,395.3,397.85,2252956,9058.209934,3130,
03-Aug-2017,407.5,396,403.95,3426255,13796.4373915,3969,
04-Aug-2017,408.9,399,406.55,2078958,8412.698049,1743,
07-Aug-2017,408.5,395.6,397.85,2453089,9900.076876,3555,
08-Aug-2017,389.8,380,383.6,12856633,49461.082132,14529,
09-Aug-2017,385.4,379,381.7,2750683,10516.7708845,2612,
10-Aug-2017,387.9,378.95,382.45,3050083,11684.317601,2955,
11-Aug-2017,383.75,376.1,382.3,2645105,10064.6514775,1573,
14-Aug-2017,385.9,378.5,379.85,2677716,10212.094403,1042,
16-Aug-2017,383.8,377.9,382.9,1986044,7586.127915,1525,
17-Aug-2017,388.75,378.55,379.35,1591863,6097.40783,1752,
18-Aug-2017,396.75,379.95,395.3,4427161,17318.1500555,3562,
21-Aug-2017,396.55,382.65,386.6,1956668,7634.502649,2164,
