Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
11-Dec-2018,936.95,894.15,933.15,2792386,25619.610452,10248,
12-Dec-2018,938.1,921,929.95,3256275,30242.865367,10932,
13-Dec-2018,961.25,924.25,944.15,4821052,45391.1564175,20489,
14-Dec-2018,951.7,928.45,931.5,2558651,23953.0447055,10328,
17-Dec-2018,937.2,925.4,935.3,2284630,21301.605747,7567,
18-Dec-2018,938.75,930.8,933,2222788,20776.5843865,7346,
19-Dec-2018,941.55,927.5,929.2,2237859,20893.7676955,9046,
20-Dec-2018,933,922.2,926.75,1630740,15133.6619285,9183,
21-Dec-2018,927.85,897.25,900.05,2972085,26979.5901685,17493,
24-Dec-2018,902.8,874,879.85,2554749,22632.6359665,29481,
26-Dec-2018,900,868.2,889.15,3840772,34087.608655,30921,
27-Dec-2018,897.8,881.5,887.65,2160188,19187.3983315,15726,
28-Dec-2018,925.75,898.8,922.7,8067914,73704.922308,22161,
31-Dec-2018,939.5,920.35,931,4917511,45881.9247485,14702,
01-Jan-2019,934.2,923,928,2064502,19169.4276905,5069,
02-Jan-2019,937,923.3,932.15,2672587,24923.4139965,9947,
03-Jan-2019,944.95,928,931.2,3292918,30786.567229,10842,
04-Jan-2019,938.9,920.2,928.45,2340304,21741.7110335,8399,
07-Jan-2019,964,934.1,944.05,5337211,50721.368007,15813,
08-Jan-2019,950,938.55,946.15,2039160,19257.796792,7618,
09-Jan-2019,955.35,945.35,952.95,2115974,20122.555232,8010,
10-Jan-2019,969.4,948.55,966.7,2450895,23536.633894,12492,
11-Jan-2019,969.5,956.8,959.3,1535995,14767.2877885,9078,
14-Jan-2019,961.35,949,957.5,864306,8258.2058025,7219,
15-Jan-2019,970.7,955.1,968.3,1452136,14022.921015,7283,
16-Jan-2019,970.4,959.3,961.2,1118736,10788.9657235,4953,
17-Jan-2019,965,951.55,961.55,1303576,12508.367111,6382,
18-Jan-2019,965,954.05,960.95,1168989,11225.5041835,7692,
21-Jan-2019,965.8,957,962.75,1035360,9957.578628,7611,
22-Jan-2019,986.4,958.7,982.65,2797244,27265.4240075,17059,
23-Jan-2019,987.4,957.6,962.15,1574247,15318.382707,11971,
24-Jan-2019,972.3,955.9,969.65,1246903,12057.814032,12100,
25-Jan-2019,984,969.15,978,1985833,19397.2044215,14740,
28-Jan-2019,981.2,955.2,958.65,1499181,14467.7737865,20915,
29-Jan-2019,970,945,966.1,1411027,13581.553571,18165,
30-Jan-2019,974.95,960.05,968.9,1468812,14214.538592,18790,
31-Jan-2019,1000,966.5,995.8,2306391,22744.3535485,30008,
01-Feb-2019,1005,985.1,991.55,3424938,33964.1540895,15203,
04-Feb-2019,1050,1009.05,1025.75,9556052,98651.326376,41999,
05-Feb-2019,1074,1020,1066.7,7144200,75396.5315575,36804,
06-Feb-2019,1072,1050.5,1059.05,2449722,25926.008399,14468,
07-Feb-2019,1067.05,1050,1056.8,1293109,13656.236191,8881,
08-Feb-2019,1076.85,1047.6,1053.25,2576054,27374.5288325,17430,
11-Feb-2019,1063.5,1045.2,1056.4,1057548,11138.6603165,8423,
12-Feb-2019,1073.95,1050.1,1066.25,3075801,32777.724627,15502,
13-Feb-2019,1071.25,1047.8,1050.95,1185932,12546.5089825,9283,
14-Feb-2019,1063.95,1030.5,1042.25,2182379,22687.203285,14818,
15-Feb-2019,1052,1016.8,1039,2566210,26481.4221765,21288,
18-Feb-2019,1040.65,1021.3,1027.35,1023065,10512.433623,8156,
19-Feb-2019,1049.8,1025.3,1028.8,1551617,16120.822202,11172,
20-Feb-2019,1044.4,1027.5,1032.75,1506583,15582.741767,14687,
21-Feb-2019,1045,1031.25,1042.5,1220939,12680.156203,12992,
22-Feb-2019,1044,1030.3,1041.6,1298608,13475.4025265,10778,
25-Feb-2019,1055,1035.6,1043,1691809,17639.587622,10684,
26-Feb-2019,1041.9,1016.05,1038.35,1906268,19632.922703,20237,
27-Feb-2019,1047.15,1013.95,1016.25,1897310,19496.171195,22790,
28-Feb-2019,1033.8,1002.05,1025.2,5080712,51618.580846,33317,
